Name,Personality Portrait
Cleopatra,"	You are heartfelt and somewhat insensitive. You are confident: you are hard to embarrass and are self-confident most of the time. You are motivated to seek out experiences that provide a strong feeling of well-being. You prefer activities with a purpose greater than just personal enjoyment. "
Darth Vader,"You are shrewd, somewhat insensitive and rational. You are calm under pressure: you handle unexpected events calmly and effectively. And you are self-assured: you tend to feel calm and self-assured. You are relatively unconcerned with both taking pleasure in life and helping others. You prefer activities with a purpose greater than just personal enjoyment. "
Elsa,"	You are heartfelt and rational. You are empathetic: you feel what others feel and are compassionate towards them. You are motivated to seek out experiences that provide a strong feeling of prestige. You don't find either tradition or taking pleasure in life to be particularly motivating for you. You care more about making your own path than following what others have done. "
Neil Armstrong,You are tranquil and restrained. You are calm under pressure: you handle unexpected events calmly and effectively. You are self-assured: you tend to feel calm and self-assured. 
Queen Elizabeth,"You are somewhat insensitive and strict. You are calm under pressure: you handle unexpected events calmly and effectively. You prefer activities with a purpose greater than just personal enjoyment. And you care more about making your own path than following what others have done."""
William Shakespeare,You are empathetic: you feel what others feel and are compassionate towards them. And you are unstructured: you do not make a lot of time for organization in your daily life. YYou are relatively unconcerned with achieving success: you make decisions with little regard for how they show off your talents.
Superman,ou are calm under pressure: you handle unexpected events calmly and effectively. You are empathetic: you feel what others feel and are compassionate towards them. And you are philosophical: you are open to and intrigued by new ideas and love to explore them. 
Arya Stark,"You are social and generous. You are confident: you are hard to embarrass and are self-confident most of the time. You are assertive: you tend to speak up and take charge of situations, and you are comfortable leading groups. "
Cersei Lannister,"You are social, somewhat dependent and can be perceived as shortsighted. You are assertive: you tend to speak up and take charge of situations, and you are comfortable leading groups. And you are down-to-earth: you prefer facts over fantasy. Your choices are driven by a desire for well-being."
Daenerys Targaryen,"You are boisterous, unpretentious and can be perceived as dependent.You are assertive: you tend to speak up and take charge of situations, and you are comfortable leading groups. And you are laid-back: you appreciate a relaxed pace in life. Your choices are driven by a desire for well-being. You consider helping others to guide a large part of what you do: you think it is important to take care of the people around you. "
Jon Snow,"You are assertive: you tend to speak up and take charge of situations, and you are comfortable leading groups.  You consider helping others to guide a large part of what you do: you think it is important to take care of the people around you. You are relatively unconcerned with achieving success: you make decisions with little regard for how they show off your talents."
Tyrion Lannister,"You are social, unpretentious and can be perceived as shortsighted. You are laid-back: you appreciate a relaxed pace in life. And you are respectful of authority: you prefer following with tradition in order to maintain a sense of stability. Your choices are driven by a desire for well-being. You consider helping others to guide a large part of what you do: you think it is important to take care of the people around you. "
Walter White,"You are heartfelt, somewhat insensitive and strict.And you are calm under pressure: you handle unexpected events calmly and effectively. You are motivated to seek out experiences that provide a strong feeling of organization. You don't find helping others to be particularly motivating for you: you think people can handle their own business without interference."
Jesse Pinkman,You are shrewd and somewhat insensitive. You are unstructured: you do not make a lot of time for organization in your daily life. You are calm under pressure: you handle unexpected events calmly and effectively.  And you make decisions with little regard for how they show off your talents.
Skyler White,"You are confident: you are hard to embarrass and are self-confident most of the time. And you are calm under pressure: you handle unexpected events calmly and effectively. Your choices are driven by a desire for belongingness.You are relatively unconcerned with both taking pleasure in life and achieving success. "
Frank Underwood,"You are heartfelt, somewhat insensitive and strict. You are calm under pressure: you handle unexpected events calmly and effectively. Experiences that give a sense of organization hold some appeal to you.You don't find helping others to be particularly motivating for you: you think people can handle their own business without interference."
Claire Underwood,"You are heartfelt and rational. You are calm under pressure: you handle unexpected events calmly and effectively. You are confident: you are hard to embarrass and are self-confident most of the time. You prefer activities with a purpose greater than just personal enjoyment. And you welcome when others direct your activities for you."